LT_um,P_W,V_mm_s,H_um,Cost,Carbon,Efficiency,RD,Method
120,399.2233659178729,735.8734034414521,115.0,4.036795106301759,0.08656896276700429,10.15505296749204,99.50020132970998,NSGA-II
120,398.9391383294381,735.4444857922153,114.99978730078288,4.0339549066303055,0.08661543060027566,10.149115132516608,99.50050009630961,NSGA-II
120,398.4382980813434,735.1050388218703,115.0,4.028948129950124,0.08664790437938623,10.14444953574181,99.50043271180168,NSGA-II
120,398.2849865641345,734.9805583388879,115.0,4.027415615788168,0.0866603252283142,10.142731705076654,99.50043741527543,NSGA-II
120,398.2713301290637,734.8238111392795,115.0,4.027279808735662,0.08667860761871166,10.140568593722058,99.50064000879536,NSGA-II
120,398.13352923642265,734.4244451966539,115.0,4.025903731799255,0.08672370905188925,10.135057343713823,99.50104089229824,NSGA-II
120,397.781957406216,734.357947415424,115.0,4.022388335541463,0.08672639185603882,10.13413967433285,99.50073882941979,NSGA-II
120,397.33489443176717,734.3621859726651,114.9731262134193,4.017919117441232,0.08673958513647674,10.131829955303726,99.50028687614571,NSGA-II
120,396.71560471061173,733.9286510005825,115.0,4.0117268900585215,0.08676142577197735,10.128215383808039,99.50008417026794,NSGA-II
120,396.6882404513402,733.7887469877212,114.92316634035575,4.011458026353825,0.08683557068578862,10.119519147450132,99.50044013236419,NSGA-II
120,395.6854770293873,733.04187620726,115.0,4.001429926126223,0.08685119453760103,10.115977891660188,99.50003449099992,NSGA-II
120,395.3130827349002,732.3649775163146,114.9999987359232,3.9977092874718076,0.08692596714716012,10.106636578633273,99.50049356185063,NSGA-II
120,395.06985554539773,732.2772856612054,114.9998124990828,3.995277454355474,0.08693292970363975,10.105410065805108,99.50029686063398,NSGA-II
120,394.9165792494467,732.0227690507869,115.0,3.9937459270040594,0.08696074843734769,10.10191421290086,99.50044632564273,NSGA-II
120,394.74004366043414,731.9648719470274,115.0,3.991980854674871,0.08696502182870197,10.10111523286898,99.50029097191482,NSGA-II
120,394.618842476119,731.4937423217142,114.99988700073028,3.990771159174944,0.08701932136398731,10.094603725048614,99.50078028889166,NSGA-II
120,394.38237650868746,731.2287200480357,115.0,3.9884077952999064,0.0870472784580846,10.090956336662893,99.50082602793377,NSGA-II
120,394.2475831377708,731.2225819798556,114.99975607919409,3.987059904813299,0.08704620331705723,10.090850228073828,99.50065115783535,NSGA-II
120,393.7626736978941,730.9138317963641,114.99989198348092,3.9822123218712964,0.08707570173975791,10.086601404697682,99.5004049952063,NSGA-II
120,393.4649734897532,730.849273649591,114.99999884358401,3.97923563190536,0.08707891334681013,10.085719874944463,99.50007293830588,NSGA-II
120,393.3113981598271,730.2796338650935,114.99933102377976,3.9777027230324618,0.0871450630374718,10.077800322573188,99.50064202675046,NSGA-II
